Date;Price;Open;High;Low;Vol.;Change %
12/31/2020;32.94;32.88;33.21;32.57;0.15K;1.60%
12/30/2020;32.42;33.45;33.57;32.33;1.28K;-2.50%
12/29/2020;33.25;33.41;33.49;32.94;0.36K;-1.22%
12/28/2020;33.66;32.70;33.61;32.70;0.13K;3.86%
12/24/2020;32.41;32.31;32.61;32.06;0.42K;0.81%
12/23/2020;32.15;31.72;32.21;31.61;0.43K;2.42%
12/22/2020;31.39;30.93;31.56;30.73;0.69K;0.80%
12/21/2020;31.14;30.86;31.18;29.98;0.84K;-0.70%
12/18/2020;31.36;31.95;31.96;31.06;1.55K;-2.64%
12/17/2020;32.21;32.14;32.62;31.80;1.29K;0.56%
12/16/2020;32.03;32.54;32.70;31.69;2.30K;-1.23%
12/15/2020;32.43;31.57;32.61;31.54;3.10K;3.71%
12/14/2020;31.27;30.83;31.85;30.83;3.82K;0.94%
12/11/2020;30.98;31.30;31.77;30.80;4.81K;-1.21%
12/10/2020;31.36;30.11;31.45;30.11;7.88K;3.98%
12/09/2020;30.16;30.48;30.60;30.11;7.21K;0.47%
12/08/2020;30.02;30.04;30.40;30.00;4.10K;-0.17%
12/07/2020;30.07;30.31;30.31;29.91;2.65K;-1.64%
12/04/2020;30.57;29.41;30.75;29.41;2.62K;3.77%
12/03/2020;29.46;29.80;30.05;29.37;1.12K;-1.83%
12/02/2020;30.01;29.46;30.10;29.17;2.37K;2.32%
12/01/2020;29.33;29.69;30.23;29.23;2.82K;-0.91%
11/30/2020;29.60;28.58;29.80;28.53;1.42K;3.53%
11/27/2020;28.59;28.78;29.10;28.34;3.84K;0.18%
11/26/2020;28.54;27.90;28.62;27.82;7.64K;1.78%
11/25/2020;28.04;28.05;28.45;27.98;6.91K;0.00%
11/24/2020;28.04;27.49;28.07;27.36;4.07K;1.34%
11/23/2020;27.67;27.66;27.75;27.51;1.62K;1.92%
11/20/2020;27.15;26.70;27.34;26.70;4.53K;1.50%
11/19/2020;26.75;27.40;27.47;26.75;0.63K;-3.04%
11/18/2020;27.59;28.06;28.20;27.53;0.62K;2.03%
11/17/2020;27.04;27.40;27.49;26.98;2.95K;-2.70%
11/16/2020;27.79;27.00;27.80;26.99;2.50K;4.16%
11/13/2020;26.68;26.37;26.92;26.37;1.94K;1.37%
11/12/2020;26.32;26.33;26.48;26.18;1.06K;-0.75%
11/11/2020;26.52;26.96;27.42;26.65;1.59K;-0.45%
11/10/2020;26.64;26.74;26.94;26.60;1.24K;-1.22%
11/09/2020;26.97;26.47;27.38;25.83;0.60K;4.33%
11/06/2020;25.85;26.08;26.45;25.70;1.28K;-2.19%
11/05/2020;26.43;25.55;26.59;25.43;0.60K;3.36%
11/04/2020;25.57;24.79;25.64;24.35;1.81K;2.86%
11/03/2020;24.86;24.38;25.09;24.38;1.89K;2.94%
11/02/2020;24.15;24.00;24.17;23.30;0.95K;-0.17%
10/30/2020;24.19;23.77;24.62;23.69;2.46K;0.17%
10/29/2020;24.15;23.40;24.50;23.40;1.66K;2.68%
10/28/2020;23.52;24.05;24.05;23.40;1.76K;-4.20%
10/27/2020;24.55;24.19;24.75;24.00;1.11K;0.82%
10/26/2020;24.35;25.37;25.37;24.25;0.41K;-6.27%
10/23/2020;25.98;24.98;26.05;24.98;1.10K;5.27%
10/22/2020;24.68;23.80;24.56;23.64;3.02K;2.58%
10/21/2020;24.06;24.90;24.90;23.89;3.77K;-3.45%
10/20/2020;24.92;25.10;25.10;24.75;0.60K;-2.24%
10/19/2020;25.49;25.35;25.67;25.17;1.68K;0.35%
10/16/2020;25.40;25.68;25.90;25.40;0.84K;-0.31%
10/15/2020;25.48;25.92;25.93;25.17;3.41K;-3.04%
10/14/2020;26.28;25.65;26.38;25.61;1.48K;2.10%
10/13/2020;25.74;26.20;26.20;25.70;4.26K;-2.50%
10/12/2020;26.40;26.05;26.40;25.80;1.40K;0.61%
10/09/2020;26.24;26.91;26.94;26.07;0.75K;-2.38%
10/08/2020;26.88;27.49;27.50;26.84;1.55K;-2.04%
10/07/2020;27.44;27.16;28.17;27.15;1.49K;0.37%
10/06/2020;27.34;27.48;27.54;27.00;0.56K;-0.55%
10/05/2020;27.49;27.40;27.74;27.20;0.50K;-0.36%
10/02/2020;27.59;26.96;27.95;26.65;1.01K;1.92%
10/01/2020;27.07;27.66;27.69;26.83;0.68K;-1.56%
09/30/2020;27.50;27.18;27.67;27.12;2.97K;0.51%
09/29/2020;27.36;28.01;28.12;27.35;2.38K;-3.25%
09/28/2020;28.28;27.00;28.27;26.70;1.72K;5.72%
09/25/2020;26.75;27.30;27.30;26.63;2.40K;-2.37%
09/24/2020;27.40;26.90;27.40;26.73;1.47K;1.03%
09/23/2020;27.12;28.42;28.42;27.13;1.29K;-4.74%
09/22/2020;28.47;27.32;27.70;26.49;0.66K;5.25%
09/21/2020;27.05;28.47;28.47;26.95;5.52K;-5.68%
09/18/2020;28.68;29.45;29.47;28.71;0.73K;-1.54%
09/17/2020;29.13;30.15;30.23;29.07;6.15K;-5.14%
09/16/2020;30.71;30.60;30.75;29.92;1.22K;0.59%
09/15/2020;30.53;31.38;31.40;30.47;1.44K;-2.15%
09/14/2020;31.20;29.35;31.23;29.28;0.22K;7.62%
09/11/2020;28.99;29.19;29.19;28.27;0.23K;-0.55%
09/10/2020;29.15;28.26;28.96;28.12;1.01K;4.33%
09/09/2020;27.94;27.04;27.99;27.04;1.25K;1.49%
09/08/2020;27.53;28.49;28.58;27.48;0.36K;-1.01%
09/07/2020;27.81;28.27;28.27;27.47;0.83K;-1.14%
09/04/2020;28.13;29.28;29.71;28.06;1.46K;-4.74%
09/03/2020;29.53;28.90;29.73;28.90;2.13K;1.62%
09/02/2020;29.06;28.85;29.25;28.55;0.74K;1.57%
09/01/2020;28.61;29.43;29.43;28.62;0.75K;-3.12%
08/31/2020;29.53;30.43;30.43;29.57;0.33K;-2.80%
08/28/2020;30.38;29.87;30.69;29.82;0.86K;3.93%
08/27/2020;29.23;29.45;29.78;29.00;1.08K;-0.85%
08/26/2020;29.48;29.38;30.01;29.21;0.75K;0.07%
08/25/2020;29.46;28.70;29.57;28.39;3.27K;4.03%
08/24/2020;28.32;27.50;28.13;27.43;3.71K;6.95%
08/21/2020;26.48;26.50;26.51;26.18;1.93K;-1.01%
08/20/2020;26.75;27.00;27.10;26.52;3.59K;-1.22%
08/19/2020;27.08;27.39;27.60;27.03;1.11K;-1.20%
08/18/2020;27.41;27.20;27.66;27.05;1.89K;0.88%
08/17/2020;27.17;26.50;27.23;25.95;1.49K;3.07%
08/14/2020;26.36;26.32;26.37;25.94;0.37K;0.23%
08/13/2020;26.30;26.86;27.05;26.22;4.52K;-2.12%
08/12/2020;26.87;26.65;26.93;26.49;0.22K;-0.78%
08/11/2020;27.08;27.96;27.96;27.03;0.78K;-1.88%
08/10/2020;27.60;27.96;27.96;27.31;3.24K;1.02%
08/07/2020;27.32;27.05;27.58;26.89;0.67K;0.07%
08/06/2020;27.30;27.80;28.27;27.34;0.51K;-1.41%
08/05/2020;27.69;27.64;27.80;27.64;0.67K;-0.22%
08/04/2020;27.75;27.27;27.77;27.05;1.90K;2.47%
08/03/2020;27.08;27.45;27.45;26.50;0.37K;-0.51%
07/31/2020;27.22;26.78;27.69;26.77;3.41K;2.79%
07/30/2020;26.48;26.96;26.96;26.09;0.61K;-2.40%
07/29/2020;27.13;26.75;27.26;26.70;0.56K;1.72%
07/28/2020;26.67;26.33;26.63;25.95;1.49K;2.93%
07/27/2020;25.91;27.00;27.00;25.80;2.01K;-4.99%
07/24/2020;27.27;27.78;27.79;27.12;2.49K;-3.40%
07/23/2020;28.23;27.65;28.26;27.47;0.12K;2.54%
07/22/2020;27.53;27.15;27.66;26.80;3.85K;0.07%
07/21/2020;27.51;27.85;27.85;26.93;3.99K;1.51%
07/20/2020;27.10;27.80;27.96;26.89;0.78K;-5.77%
07/17/2020;28.76;28.12;28.59;27.74;0.57K;3.94%
07/16/2020;27.67;29.75;30.20;27.80;5.69K;-6.84%
07/15/2020;29.70;30.92;31.24;29.84;0.68K;-2.50%
07/14/2020;30.46;30.20;30.45;29.70;0.56K;1.06%
07/13/2020;30.14;30.11;31.35;29.99;1.79K;1.21%
07/10/2020;29.78;28.96;29.01;28.61;0.15K;1.40%
07/09/2020;29.37;30.03;30.03;29.16;0.31K;-2.30%
07/08/2020;30.06;29.50;29.56;29.05;0.63K;-0.20%
07/07/2020;30.12;30.25;30.52;30.00;0.20K;-1.02%
07/06/2020;30.43;29.45;30.32;29.45;0.14K;6.25%
07/03/2020;28.64;27.60;28.63;27.57;0.47K;1.96%
07/02/2020;28.09;28.05;28.57;28.03;1.28K;-1.16%
07/01/2020;28.42;27.55;28.80;27.47;0.42K;2.67%
06/30/2020;27.68;27.15;27.90;26.89;0.91K;1.21%
06/29/2020;27.35;25.59;27.17;25.50;0.42K;7.42%
06/26/2020;25.46;25.98;26.12;25.66;0.64K;-1.77%
06/25/2020;25.92;25.90;26.08;25.58;1.22K;-0.84%
